fileName,config,valueSol,tempExec
instances/qbf040,P,-366.0,0.569
instances/qbf040,A,-366.0,0.041
instances/qbf040,B,-366.0,0.184
instances/qbf040,C,-366.0,1.586
instances/qbf040,D,-366.0,0.257
