fileName,config,valueSol,tempExec
instances/qbf100,P,-1076.0,1800.065
instances/qbf100,A,-1263.0,1800.016
instances/qbf100,B,-1197.0,1800.007
instances/qbf100,C,-1121.0,1800.011
instances/qbf100,D,-1106.0,1800.004
