fileName,config,valueSol,tempExec
instances/qbf200,P,-3603.0,1800.051
instances/qbf200,A,-4041.0,1800.017
instances/qbf200,B,-3481.0,1800.004
instances/qbf200,C,-3555.0,1800.004
instances/qbf200,D,-3712.0,1800.003
