fileName,config,valueSol,tempExec
instances/qbf020,P,-125.0,0.197
instances/qbf020,A,-125.0,0.009
instances/qbf020,B,-125.0,0.042
instances/qbf020,C,-125.0,0.017
instances/qbf020,D,-125.0,0.007
