fileName,config,valueSol,tempExec
instances/qbf060,P,-500.0,1800.082
instances/qbf060,A,-508.0,1800.012
instances/qbf060,B,-508.0,1800.012
instances/qbf060,C,-502.0,1800.013
instances/qbf060,D,-503.0,1800.002
