fileName,config,valueSol,tempExec
instances/qbf400,P,-10139.0,1800.15
instances/qbf400,A,-10880.0,1800.572
instances/qbf400,B,-10695.0,1800.015
instances/qbf400,C,-9988.0,1800.009
instances/qbf400,D,-10379.0,1800.012
